Distributor Area,Origin Area,Origin Latitude,Longitude_x,Destination Area,Destination Latitude,Destination Longitude,Volume (CS),Distance (km),Cost/Trip
CDP-BNR,DC-MDN,3.6,98.6,Mataram,-8.5833,116.1167,515,2368.007875564744,10584.916615467
CDP-BNR,DC-MDN,3.6,98.6,Denpasar,-8.65,115.2167,1883,2291.2073540769134,10427.156719026616
DC-SBY,CDP-SUL,-3.0,120.0,Bandung,-6.9175,107.6191,847,1438.7742021763645,6234.289618831763
CDP-KLT,DC-MDN,3.6,98.6,Pontianak,-0.0267,109.33,341,1258.6905574161763,4887.958232134395
DC-JKT,CDP-KLT,-0.5,115.0,Semarang,-6.9667,110.4233,942,880.1491632445931,3845.857877443908
DC-MDN,DC-MDN,3.6,98.6,Palembang,-2.9761,104.7754,4657,1002.8379470237779,453.19500745314815
CDP-SUL,CDP-SUL,-3.0,120.0,Makassar,-5.1477,119.4327,4494,246.9624609490256,1143.770882684881
DC-MDN,CDP-KLT,-0.5,115.0,Pekanbaru,0.5061,101.4477,2853,1511.0746102178837,6184.13426441235
CDP-BNR,DC-SBY,-7.2,112.7,Denpasar,-8.65,115.2167,599,320.6485338953572,1583.3127953554585
DC-MDN,DC-SBY,-7.2,112.7,Medan,3.5952,98.6722,3907,1965.7793229313918,1173.8738397977759
DC-JKT,CDP-KLT,-0.5,115.0,Surabaya,-7.2575,112.7521,4905,791.6565186249713,4099.632547145092
DC-MDN,CDP-KLT,-0.5,115.0,Padang,-0.957,100.354,4062,1629.2168947507525,6830.465560548158
CDP-KLT,DC-MDN,3.6,98.6,Palangkaraya,-2.2089,113.9167,2095,1820.708030061488,8053.2435566148915
CDP-SUL,DC-JKT,-6.2,106.8,Kendari,-3.9888,122.5159,1563,1757.7524542612707,8286.750342210305
DC-MDN,CDP-BNR,-8.0,117.0,Pekanbaru,0.5061,101.4477,3676,1966.4208305163588,9363.409641691693
DC-SBY,CDP-KLT,-0.5,115.0,Bandung,-6.9175,107.6191,2130,1085.938309797235,5324.503742993924
DC-MDN,DC-SBY,-7.2,112.7,Pekanbaru,0.5061,101.4477,4934,1513.9381482957867,780.2196320550398
DC-MDN,CDP-SUL,-3.0,120.0,Pekanbaru,0.5061,101.4477,1523,2098.6357808943453,10099.481845280654
CDP-BNR,DC-MDN,3.6,98.6,Mataram,-8.5833,116.1167,557,2368.007875564744,13147.59645426738
CDP-KLT,CDP-BNR,-8.0,117.0,Pontianak,-0.0267,109.33,4014,1228.278121253845,4712.202525184458
CDP-BNR,CDP-KLT,-0.5,115.0,Mataram,-8.5833,116.1167,1142,907.2909384257198,3799.4450762418114
CDP-BNR,DC-MDN,3.6,98.6,Mataram,-8.5833,116.1167,3331,2368.007875564744,9364.177005172323
CDP-KLT,CDP-BNR,-8.0,117.0,Pontianak,-0.0267,109.33,1479,1228.278121253845,5492.450126214517
DC-JKT,DC-SBY,-7.2,112.7,Bandung,-6.9175,107.6191,2114,561.564094988836,254.28533647092914
DC-SBY,CDP-SUL,-3.0,120.0,Yogyakarta,-7.7956,110.3695,3429,1191.740520183319,6524.683667250407
DC-SBY,CDP-BNR,-8.0,117.0,Bandung,-6.9175,107.6191,1723,1041.2274560842995,4709.268694868385
DC-MDN,CDP-SUL,-3.0,120.0,Pekanbaru,0.5061,101.4477,1170,2098.6357808943453,9811.045036571622
DC-MDN,CDP-SUL,-3.0,120.0,Pekanbaru,0.5061,101.4477,1390,2098.6357808943453,8893.049770294847
CDP-BNR,CDP-SUL,-3.0,120.0,Denpasar,-8.65,115.2167,1493,821.246046717488,3384.7770584621144
DC-MDN,DC-JKT,-6.2,106.8,Padang,-0.957,100.354,3950,922.641145285623,369.8048079069052
CDP-SUL,DC-SBY,-7.2,112.7,Manado,1.4748,124.8421,1040,1656.8801493645076,8526.349337063426
DC-SBY,DC-SBY,-7.2,112.7,Yogyakarta,-7.7956,110.3695,4136,265.3211639754965,122.96976522061591
CDP-KLT,CDP-SUL,-3.0,120.0,Pontianak,-0.0267,109.33,4534,1231.1250715639362,5544.095364476035
CDP-SUL,CDP-SUL,-3.0,120.0,Manado,1.4748,124.8421,1319,732.9904053579337,3053.3360255377847
DC-SBY,CDP-KLT,-0.5,115.0,Bandung,-6.9175,107.6191,4242,1085.938309797235,5918.084617029961
CDP-SUL,DC-SBY,-7.2,112.7,Kendari,-3.9888,122.5159,3654,1143.3092574038453,6078.44619293033
DC-SBY,DC-SBY,-7.2,112.7,Bandung,-6.9175,107.6191,2282,561.564094988836,239.8067133183354
CDP-BNR,CDP-SUL,-3.0,120.0,Mataram,-8.5833,116.1167,1877,754.8772804835337,2922.910343336017
DC-MDN,DC-JKT,-6.2,106.8,Pekanbaru,0.5061,101.4477,2304,953.3970850890278,517.8692584669224
DC-JKT,CDP-BNR,-8.0,117.0,Jakarta,-6.2088,106.8456,2998,1137.944579317045,5339.761069824195
DC-MDN,DC-MDN,3.6,98.6,Palembang,-2.9761,104.7754,552,1002.8379470237779,422.84215644584134
CDP-BNR,DC-JKT,-6.2,106.8,Denpasar,-8.65,115.2167,913,967.121316350991,4991.238412774837
DC-SBY,CDP-BNR,-8.0,117.0,Tg. Priok,-6.1051,106.887,2953,1135.6486895447179,5874.103166627769
CDP-KLT,DC-JKT,-6.2,106.8,Pontianak,-0.0267,109.33,2844,741.6411412678369,3945.0685645950853
CDP-KLT,CDP-SUL,-3.0,120.0,Palangkaraya,-2.2089,113.9167,1439,681.4289943217439,2976.727112319429
CDP-SUL,DC-MDN,3.6,98.6,Palu,-0.8906,119.8829,1849,2417.405593684529,12557.739080115447
DC-MDN,CDP-SUL,-3.0,120.0,Pekanbaru,0.5061,101.4477,3476,2098.6357808943453,9706.993661488725
CDP-BNR,DC-MDN,3.6,98.6,Mataram,-8.5833,116.1167,2410,2368.007875564744,11295.25902271936
DC-JKT,DC-JKT,-6.2,106.8,Jakarta,-6.2088,106.8456,1801,5.134885309594459,2.240847643605201
CDP-BNR,DC-SBY,-7.2,112.7,Mataram,-8.5833,116.1167,4699,406.5332407074668,1603.7755456074322
CDP-BNR,DC-JKT,-6.2,106.8,Denpasar,-8.65,115.2167,2809,967.121316350991,4382.432450198963
CDP-KLT,CDP-KLT,-0.5,115.0,Balikpapan,-1.2653,116.8253,1873,220.05821358203067,957.9704797836414
CDP-BNR,CDP-BNR,-8.0,117.0,Mataram,-8.5833,116.1167,3554,116.84593138218402,443.7724226846201
DC-MDN,DC-SBY,-7.2,112.7,Palembang,-2.9761,104.7754,4097,995.2846421825932,474.7622286533405
DC-JKT,CDP-SUL,-3.0,120.0,Surabaya,-7.2575,112.7521,2502,931.7407518996073,4417.400964651802
DC-SBY,CDP-SUL,-3.0,120.0,Bandung,-6.9175,107.6191,406,1438.7742021763645,8028.277124492943
CDP-SUL,DC-SBY,-7.2,112.7,Palu,-0.8906,119.8829,877,1061.2727134521751,5463.738470872584
DC-SBY,DC-SBY,-7.2,112.7,Jakarta,-6.2088,106.8456,2008,655.8431676337594,303.12628595017844
CDP-SUL,DC-MDN,3.6,98.6,Kendari,-3.9888,122.5159,4931,2788.1218414522277,15476.234926702782
DC-JKT,CDP-SUL,-3.0,120.0,Semarang,-6.9667,110.4233,3290,1148.6873892125689,5088.014290680411
DC-JKT,DC-JKT,-6.2,106.8,Yogyakarta,-7.7956,110.3695,113,432.0497972825557,205.12155293539465
DC-MDN,DC-MDN,3.6,98.6,Padang,-0.957,100.354,2775,542.9171842203448,297.207166031474
DC-SBY,DC-JKT,-6.2,106.8,Tg. Priok,-6.1051,106.887,3432,14.278080413040605,7.079123219182697
CDP-KLT,CDP-BNR,-8.0,117.0,Balikpapan,-1.2653,116.8253,2579,749.1144479667884,3535.8264380675796
CDP-KLT,CDP-SUL,-3.0,120.0,Balikpapan,-1.2653,116.8253,3707,402.0457254447599,2267.3703956342356
CDP-KLT,DC-MDN,3.6,98.6,Balikpapan,-1.2653,116.8253,4652,2096.5288073463084,10665.981616088551
CDP-SUL,CDP-SUL,-3.0,120.0,Kendari,-3.9888,122.5159,4323,300.0986279216074,1653.2217545693834
CDP-SUL,DC-MDN,3.6,98.6,Palu,-0.8906,119.8829,4791,2417.405593684529,11562.945409806818
CDP-SUL,DC-MDN,3.6,98.6,Manado,1.4748,124.8421,2825,2924.4708843176863,12704.939329439021
CDP-SUL,CDP-KLT,-0.5,115.0,Makassar,-5.1477,119.4327,4875,713.6549165253224,2716.41763164924
DC-JKT,DC-SBY,-7.2,112.7,Surabaya,-7.2575,112.7521,4644,8.5970875706038,4.327556101800605
CDP-KLT,DC-MDN,3.6,98.6,Pontianak,-0.0267,109.33,4471,1258.6905574161763,5967.94082136832
DC-MDN,DC-SBY,-7.2,112.7,Palembang,-2.9761,104.7754,2574,995.2846421825932,524.0924064687188
CDP-SUL,DC-JKT,-6.2,106.8,Makassar,-5.1477,119.4327,2854,1402.6513007331262,6059.811555979077
DC-JKT,CDP-KLT,-0.5,115.0,Semarang,-6.9667,110.4233,3424,880.1491632445931,4459.201152096331
CDP-BNR,DC-SBY,-7.2,112.7,Mataram,-8.5833,116.1167,4606,406.5332407074668,1788.7971200362308
DC-SBY,DC-SBY,-7.2,112.7,Semarang,-6.9667,110.4233,3974,252.56074901137438,140.88091449023844
CDP-BNR,DC-JKT,-6.2,106.8,Mataram,-8.5833,116.1167,2768,1060.8969766122175,4502.262018826383
DC-MDN,CDP-BNR,-8.0,117.0,Medan,3.5952,98.6722,267,2407.322557213567,11448.618982291
DC-SBY,CDP-SUL,-3.0,120.0,Semarang,-6.9667,110.4233,3512,1148.6873892125689,4914.926931526561
CDP-BNR,DC-SBY,-7.2,112.7,Mataram,-8.5833,116.1167,3379,406.5332407074668,1662.3160599604184
DC-JKT,DC-MDN,3.6,98.6,Yogyakarta,-7.7956,110.3695,4157,1819.4428648275564,771.0705328235855
CDP-SUL,CDP-BNR,-8.0,117.0,Manado,1.4748,124.8421,4569,1366.0680166569687,5939.09259076387
CDP-SUL,CDP-BNR,-8.0,117.0,Manado,1.4748,124.8421,4437,1366.0680166569687,7277.966534429618
DC-SBY,DC-MDN,3.6,98.6,Semarang,-6.9667,110.4233,371,1761.4031138772393,847.5612852072018
DC-MDN,DC-JKT,-6.2,106.8,Palembang,-2.9761,104.7754,3217,422.90941316625606,171.08122934570093
DC-JKT,DC-SBY,-7.2,112.7,Semarang,-6.9667,110.4233,993,252.56074901137438,121.28359690290762
CDP-KLT,DC-JKT,-6.2,106.8,Balikpapan,-1.2653,116.8253,2562,1240.0510971490385,4981.782425295932
DC-SBY,CDP-SUL,-3.0,120.0,Semarang,-6.9667,110.4233,1214,1148.6873892125689,5907.043754488769
CDP-SUL,CDP-KLT,-0.5,115.0,Manado,1.4748,124.8421,1369,1116.1120891327735,6255.394531499241
DC-MDN,DC-JKT,-6.2,106.8,Palembang,-2.9761,104.7754,1683,422.90941316625606,215.4494784000489
DC-JKT,DC-SBY,-7.2,112.7,Bandung,-6.9175,107.6191,2813,561.564094988836,292.5322706939871
DC-JKT,DC-SBY,-7.2,112.7,Semarang,-6.9667,110.4233,2424,252.56074901137438,105.60409899322552
DC-JKT,DC-MDN,3.6,98.6,Yogyakarta,-7.7956,110.3695,2229,1819.4428648275564,1051.0260376192434
CDP-BNR,CDP-SUL,-3.0,120.0,Mataram,-8.5833,116.1167,2603,754.8772804835337,3029.2552901847994
DC-JKT,DC-MDN,3.6,98.6,Yogyakarta,-7.7956,110.3695,3155,1819.4428648275564,858.9427216528811
DC-MDN,DC-JKT,-6.2,106.8,Palembang,-2.9761,104.7754,711,422.90941316625606,176.9555869449906
DC-JKT,DC-JKT,-6.2,106.8,Surabaya,-7.2575,112.7521,3342,667.7064674632145,289.35168991359706
DC-MDN,CDP-BNR,-8.0,117.0,Medan,3.5952,98.6722,1401,2407.322557213567,13113.137834698424
DC-SBY,DC-SBY,-7.2,112.7,Surabaya,-7.2575,112.7521,4557,8.5970875706038,4.559272942697295
DC-MDN,CDP-BNR,-8.0,117.0,Pekanbaru,0.5061,101.4477,2138,1966.4208305163588,8550.194470530898
CDP-KLT,CDP-BNR,-8.0,117.0,Pontianak,-0.0267,109.33,3117,1228.278121253845,5611.793980060035
DC-MDN,DC-JKT,-6.2,106.8,Palembang,-2.9761,104.7754,4949,422.90941316625606,213.96710513578992
CDP-BNR,DC-SBY,-7.2,112.7,Denpasar,-8.65,115.2167,2247,320.6485338953572,1626.810940781391
CDP-SUL,CDP-KLT,-0.5,115.0,Kendari,-3.9888,122.5159,426,920.6792554302883,3698.578655700864
CDP-BNR,DC-JKT,-6.2,106.8,Mataram,-8.5833,116.1167,497,1060.8969766122175,4696.164556499217
DC-SBY,CDP-BNR,-8.0,117.0,Bandung,-6.9175,107.6191,1418,1041.2274560842995,4318.890617833737
DC-SBY,CDP-BNR,-8.0,117.0,Tg. Priok,-6.1051,106.887,3013,1135.6486895447179,6076.20615108229
CDP-BNR,CDP-KLT,-0.5,115.0,Denpasar,-8.65,115.2167,4562,906.5563541022262,4065.4678849000184
DC-MDN,DC-SBY,-7.2,112.7,Medan,3.5952,98.6722,1686,1965.7793229313918,923.3550056403502
CDP-BNR,CDP-BNR,-8.0,117.0,Denpasar,-8.65,115.2167,1264,209.09231495917885,1144.02510037386
DC-MDN,CDP-SUL,-3.0,120.0,Padang,-0.957,100.354,1298,2194.891776122058,9599.20077805931
DC-MDN,DC-MDN,3.6,98.6,Pekanbaru,0.5061,101.4477,3451,467.4054225189695,246.97847224679572
CDP-SUL,CDP-SUL,-3.0,120.0,Manado,1.4748,124.8421,1363,732.9904053579337,3395.9659970586604
DC-SBY,DC-JKT,-6.2,106.8,Tg. Priok,-6.1051,106.887,457,14.278080413040605,7.723680179569261
DC-SBY,CDP-SUL,-3.0,120.0,Surabaya,-7.2575,112.7521,4672,931.7407518996073,4933.863318494876
CDP-KLT,CDP-KLT,-0.5,115.0,Palangkaraya,-2.2089,113.9167,1260,224.96399863478132,1249.8098102171928
CDP-BNR,CDP-KLT,-0.5,115.0,Mataram,-8.5833,116.1167,936,907.2909384257198,4922.26560383182
DC-JKT,CDP-KLT,-0.5,115.0,Semarang,-6.9667,110.4233,1356,880.1491632445931,4596.515422620269
DC-SBY,CDP-SUL,-3.0,120.0,Tg. Priok,-6.1051,106.887,2637,1493.7486340169646,7041.591111180056
CDP-SUL,DC-SBY,-7.2,112.7,Kendari,-3.9888,122.5159,1712,1143.3092574038453,6071.527533868499
CDP-BNR,DC-SBY,-7.2,112.7,Denpasar,-8.65,115.2167,2256,320.6485338953572,1752.8838594475267
DC-SBY,CDP-BNR,-8.0,117.0,Jakarta,-6.2088,106.8456,1808,1137.944579317045,5243.6505126805105
DC-MDN,CDP-BNR,-8.0,117.0,Padang,-0.957,100.354,727,2003.478316081565,7679.889625128242
CDP-SUL,DC-SBY,-7.2,112.7,Makassar,-5.1477,119.4327,986,778.4546025667233,4378.956249549162
DC-JKT,DC-SBY,-7.2,112.7,Bandung,-6.9175,107.6191,2349,561.564094988836,297.6162774381967
CDP-BNR,CDP-BNR,-8.0,117.0,Denpasar,-8.65,115.2167,4393,209.09231495917885,1144.2617522038813
DC-MDN,CDP-KLT,-0.5,115.0,Palembang,-2.9761,104.7754,4265,1169.191156381192,5716.25960746751
CDP-SUL,CDP-SUL,-3.0,120.0,Kendari,-3.9888,122.5159,1291,300.0986279216074,1503.9018457849863
CDP-BNR,DC-MDN,3.6,98.6,Mataram,-8.5833,116.1167,4917,2368.007875564744,12864.475073711741
DC-MDN,DC-SBY,-7.2,112.7,Palembang,-2.9761,104.7754,3657,995.2846421825932,556.8717691807243
DC-MDN,DC-JKT,-6.2,106.8,Medan,3.5952,98.6722,1142,1414.4575744927204,646.1524384584525
DC-JKT,CDP-BNR,-8.0,117.0,Tg. Priok,-6.1051,106.887,3001,1135.6486895447179,5234.857235722274
CDP-BNR,CDP-KLT,-0.5,115.0,Denpasar,-8.65,115.2167,2679,906.5563541022262,3735.5623617628203
CDP-BNR,DC-JKT,-6.2,106.8,Denpasar,-8.65,115.2167,2845,967.121316350991,4883.4771520132845
DC-JKT,DC-MDN,3.6,98.6,Jakarta,-6.2088,106.8456,4591,1423.9934096390716,789.3548655390645
CDP-BNR,DC-JKT,-6.2,106.8,Mataram,-8.5833,116.1167,1243,1060.8969766122175,4308.44218754511
CDP-KLT,CDP-SUL,-3.0,120.0,Balikpapan,-1.2653,116.8253,361,402.0457254447599,2219.3620115386525
DC-SBY,DC-MDN,3.6,98.6,Semarang,-6.9667,110.4233,3308,1761.4031138772393,795.696264995253
CDP-BNR,CDP-BNR,-8.0,117.0,Mataram,-8.5833,116.1167,2008,116.84593138218402,592.0068821549365
CDP-SUL,DC-MDN,3.6,98.6,Manado,1.4748,124.8421,3469,2924.4708843176863,13087.483636198038
CDP-SUL,CDP-BNR,-8.0,117.0,Makassar,-5.1477,119.4327,4865,415.67890886515187,2022.0924327981181
CDP-SUL,DC-MDN,3.6,98.6,Palu,-0.8906,119.8829,3711,2417.405593684529,12325.325703266757
CDP-SUL,DC-JKT,-6.2,106.8,Kendari,-3.9888,122.5159,3485,1757.7524542612707,7976.860564891575
DC-MDN,CDP-SUL,-3.0,120.0,Medan,3.5952,98.6722,348,2481.0569613731654,11671.899575776704
CDP-BNR,DC-MDN,3.6,98.6,Mataram,-8.5833,116.1167,3379,2368.007875564744,12674.71001852859
DC-SBY,DC-SBY,-7.2,112.7,Surabaya,-7.2575,112.7521,817,8.5970875706038,4.328543769839885
CDP-SUL,CDP-KLT,-0.5,115.0,Makassar,-5.1477,119.4327,3360,713.6549165253224,3427.36141173334
DC-SBY,CDP-BNR,-8.0,117.0,Surabaya,-7.2575,112.7521,2014,475.3832810622896,2678.068889349708
DC-SBY,DC-MDN,3.6,98.6,Yogyakarta,-7.7956,110.3695,3656,1819.4428648275564,730.1699502873074
DC-JKT,DC-MDN,3.6,98.6,Jakarta,-6.2088,106.8456,1461,1423.9934096390716,661.575790087136
DC-MDN,CDP-SUL,-3.0,120.0,Palembang,-2.9761,104.7754,899,1690.5851298239772,9218.411524684083
DC-SBY,CDP-KLT,-0.5,115.0,Jakarta,-6.2088,106.8456,4393,1105.2640612494788,5365.591220214749
DC-MDN,CDP-SUL,-3.0,120.0,Pekanbaru,0.5061,101.4477,2617,2098.6357808943453,11296.308069065899
CDP-BNR,DC-SBY,-7.2,112.7,Denpasar,-8.65,115.2167,3129,320.6485338953572,1698.9520021379938
DC-SBY,DC-MDN,3.6,98.6,Surabaya,-7.2575,112.7521,1450,1980.8953803693546,868.8317294739978
CDP-KLT,CDP-BNR,-8.0,117.0,Balikpapan,-1.2653,116.8253,3619,749.1144479667884,2939.0637498799388
CDP-BNR,CDP-BNR,-8.0,117.0,Mataram,-8.5833,116.1167,2814,116.84593138218402,536.2794942083799
DC-MDN,CDP-BNR,-8.0,117.0,Palembang,-2.9761,104.7754,1116,1463.4316150976615,7116.70589343421
DC-SBY,CDP-SUL,-3.0,120.0,Bandung,-6.9175,107.6191,380,1438.7742021763645,6728.0274286480835
CDP-SUL,DC-JKT,-6.2,106.8,Manado,1.4748,124.8421,1801,2177.186441526046,10612.79551235496
CDP-BNR,CDP-KLT,-0.5,115.0,Denpasar,-8.65,115.2167,460,906.5563541022262,3506.392624383036
CDP-KLT,DC-JKT,-6.2,106.8,Pontianak,-0.0267,109.33,3029,741.6411412678369,3213.443722931311
CDP-KLT,DC-SBY,-7.2,112.7,Palangkaraya,-2.2089,113.9167,3881,571.1191726337983,2276.118929158172
DC-JKT,CDP-BNR,-8.0,117.0,Semarang,-6.9667,110.4233,4040,734.0973457642056,3057.9307426619866
DC-MDN,DC-SBY,-7.2,112.7,Palembang,-2.9761,104.7754,3816,995.2846421825932,405.23917682132475
DC-MDN,DC-SBY,-7.2,112.7,Pekanbaru,0.5061,101.4477,151,1513.9381482957867,678.268845140072
CDP-SUL,CDP-BNR,-8.0,117.0,Kendari,-3.9888,122.5159,1359,755.5538597593122,2948.2924670161615
DC-SBY,DC-SBY,-7.2,112.7,Jakarta,-6.2088,106.8456,977,655.8431676337594,372.3411984382661
CDP-BNR,CDP-BNR,-8.0,117.0,Mataram,-8.5833,116.1167,2921,116.84593138218402,520.5154953991743
CDP-SUL,DC-MDN,3.6,98.6,Kendari,-3.9888,122.5159,2764,2788.1218414522277,15719.842930141853
DC-MDN,CDP-BNR,-8.0,117.0,Padang,-0.957,100.354,2086,2003.478316081565,10600.193762476076
DC-JKT,DC-MDN,3.6,98.6,Yogyakarta,-7.7956,110.3695,550,1819.4428648275564,1063.5482734946545
DC-SBY,DC-SBY,-7.2,112.7,Semarang,-6.9667,110.4233,3609,252.56074901137438,114.50079105491385
CDP-SUL,DC-MDN,3.6,98.6,Makassar,-5.1477,119.4327,4790,2510.1452364227553,11337.374129868758
CDP-KLT,CDP-KLT,-0.5,115.0,Palangkaraya,-2.2089,113.9167,2027,224.96399863478132,885.7610043060655
DC-SBY,DC-SBY,-7.2,112.7,Jakarta,-6.2088,106.8456,1383,655.8431676337594,268.60420167749044
CDP-KLT,DC-MDN,3.6,98.6,Balikpapan,-1.2653,116.8253,4103,2096.5288073463084,10570.679210158294
CDP-BNR,CDP-BNR,-8.0,117.0,Denpasar,-8.65,115.2167,934,209.09231495917885,1088.5544284592143
CDP-KLT,DC-SBY,-7.2,112.7,Palangkaraya,-2.2089,113.9167,3781,571.1191726337983,2268.8111414152745
DC-JKT,DC-SBY,-7.2,112.7,Surabaya,-7.2575,112.7521,2042,8.5970875706038,4.119887326290315
CDP-SUL,DC-JKT,-6.2,106.8,Manado,1.4748,124.8421,4469,2177.186441526046,9113.051752594809
DC-MDN,CDP-KLT,-0.5,115.0,Palembang,-2.9761,104.7754,3372,1169.191156381192,4521.950598982975
CDP-SUL,DC-SBY,-7.2,112.7,Makassar,-5.1477,119.4327,2321,778.4546025667233,3304.843676532843
CDP-KLT,CDP-BNR,-8.0,117.0,Pontianak,-0.0267,109.33,1661,1228.278121253845,5599.916300930164
CDP-SUL,CDP-KLT,-0.5,115.0,Palu,-0.8906,119.8829,4588,544.6471804576853,2773.233071107448
DC-MDN,CDP-SUL,-3.0,120.0,Palembang,-2.9761,104.7754,2988,1690.5851298239772,6456.082277750817
CDP-BNR,CDP-KLT,-0.5,115.0,Mataram,-8.5833,116.1167,1110,907.2909384257198,4070.5926050842745
CDP-SUL,CDP-SUL,-3.0,120.0,Palu,-0.8906,119.8829,1417,234.91526160969528,1189.85962917779
