DC ID,Carrier Provider,Fixed Cost,Variable Cost,Destination (City),Customer Code,Customer Name,Type,Volume,Total Cost
DC-JKT,TransCepat,4559.766779770414,2561.4689885266957,Padang,OCUST026,Ocean Customer 24,Bulk,88.68240287491197,7121.235768297111
DC-SBY,EkspedisiKilat,4992.843283767741,1595.7655045014571,Yogyakarta,OCUST006,Ocean Customer 25,Bulk,34.64788681821862,6588.608788269198
CDP-BNR,LogistikMaju,3172.4531760821437,2784.205709440972,Kendari,OCUST038,Ocean Customer 26,Container,32.348632741806405,5956.658885523116
DC-SBY,GudangEfisiensi,1852.1436467910255,1924.424277981447,Palembang,OCUST004,Ocean Customer 27,LCL,45.65193664954471,3776.5679247724725
DC-MDN,LogistikMaju,2026.5114110347326,2583.0869036489275,Medan,OCUST009,Ocean Customer 28,Container,26.62251244609552,4609.598314683661
DC-MDN,EkspedisiKilat,2902.395185369282,1169.408527202951,Yogyakarta,OCUST023,Ocean Customer 29,Container,18.965449692974577,4071.803712572233
DC-SBY,GudangEfisiensi,96708.77209180348,48567.12026701221,Palangkaraya,OCUST030,Ocean Customer 30,Container,96.25657297136442,145275.89235881568
CDP-KLT,TransCepat,3428.38726070145,2538.1228950419863,Palangkaraya,OCUST048,Ocean Customer 31,Bulk,10.152348162264564,5966.510155743436
DC-SBY,EkspedisiKilat,1852.0080840505034,2195.600533917883,Palembang,OCUST031,Ocean Customer 32,Container,66.86613921274841,4047.608617968386
CDP-KLT,GudangEfisiensi,1673.1700501946425,666.9082004197863,Denpasar,OCUST036,Ocean Customer 33,Container,51.22868559591302,2340.0782506144287
CDP-BNR,EkspedisiKilat,3288.6415854109496,716.5156601273161,Semarang,OCUST045,Ocean Customer 34,LCL,41.07177108366567,4005.1572455382657
DC-JKT,LogistikMaju,1244.3365215935937,2351.2263854783014,Padang,OCUST036,Ocean Customer 35,LCL,40.47194566602805,3595.562907071895
DC-SBY,EkspedisiKilat,1416.5623997244436,711.0429864023683,Yogyakarta,OCUST023,Ocean Customer 36,Container,86.17468472462659,2127.605386126812
CDP-KLT,EkspedisiKilat,3596.8239928919083,2399.2666365933824,Denpasar,OCUST049,Ocean Customer 37,Bulk,63.2505519968061,5996.09062948529
DC-SBY,GudangEfisiensi,3137.639037189563,1635.9231209645259,Semarang,OCUST024,Ocean Customer 38,Container,44.26251385186782,4773.562158154089
DC-JKT,GudangEfisiensi,2069.3308998434886,1666.583340505163,Semarang,OCUST023,Ocean Customer 39,Container,71.75064325540805,3735.9142403486517
CDP-BNR,LogistikMaju,2855.576585007979,1466.8189095109155,Manado,OCUST001,Ocean Customer 40,Bulk,44.04337497625239,4322.395494518894
DC-MDN,LogistikMaju,3538.7482614471683,1296.7127892361839,Palu,OCUST037,Ocean Customer 41,Container,75.65801005063229,4835.461050683352
CDP-SUL,EkspedisiKilat,4639.0955445885,1511.60332606576,Surabaya,OCUST008,Ocean Customer 42,Container,47.421087866145946,6150.69887065426
DC-JKT,LogistikMaju,1069.7229055051487,2419.592282613982,Padang,OCUST035,Ocean Customer 43,Container,30.917031051388072,3489.3151881191307
DC-SBY,LogistikMaju,1051.7011738201543,2536.8633396138343,Palembang,OCUST032,Ocean Customer 44,Container,79.48015865569687,3588.5645134339884
CDP-BNR,GudangEfisiensi,4816.250181970495,554.3000399422752,Palu,OCUST043,Ocean Customer 45,LCL,12.03625653652917,5370.55022191277
CDP-KLT,GudangEfisiensi,2153.147482912469,2892.717044154255,Semarang,OCUST023,Ocean Customer 46,Bulk,30.473820951155776,5045.864527066724
CDP-KLT,GudangEfisiensi,3683.9660146538013,618.5637201936652,Padang,OCUST011,Ocean Customer 47,Container,74.5810218076928,4302.529734847467
CDP-KLT,EkspedisiKilat,2894.914213283247,1070.9316464321919,Kendari,OCUST006,Ocean Customer 48,Container,49.38663974703807,3965.845859715439
CDP-BNR,LogistikMaju,1620.2018765151406,2979.1584050522815,Denpasar,OCUST007,Ocean Customer 49,Bulk,91.82923046728648,4599.360281567422
