Distributor Area,Origin Area,Origin Latitude,Longitude_x,Destination Area,Destination Latitude,Destination Longitude,Volume (CS)
Kalimantan,Mawaddah,-3.330249,114.595582,Bayu,-2.934015,115.14198,100
Kalimantan,Mawaddah,-3.330249,114.595582,Salju,0.906,108.9872,100
Kalimantan,Mawaddah,-3.330249,114.595582,Sembada,-0.1378,112.8106,100
Kalimantan,Kalpataru,2.138839,117.492022,Purnama,-0.935414,114.901123,100
Kalimantan,Kalpataru,2.138839,117.492022,Tembaga,-2.581936,115.390569,100
Kalimantan,Kalpataru,2.138839,117.492022,Lestari,-3.455801,115.99749,100
Kalimantan,Kalpataru,2.138839,117.492022,Damai,0.505968,117.532558,100
Kalimantan,Kalpataru,2.138839,117.492022,Meranti,-1.5698,110.5215,100
Kalimantan,Kalpataru,2.138839,117.492022,Cendana,-2.684718,111.631067,100
Kalimantan,Kalpataru,2.138839,117.492022,Langit,-1.905754,116.197743,100
Kalimantan,Kalpataru,2.138839,117.492022,Bayu,-2.934015,115.14198,100
Kalimantan,Kalpataru,2.138839,117.492022,Salju,0.906,108.9872,100
Kalimantan,Kalpataru,2.138839,117.492022,Sembada,-0.1378,112.8106,100
Kalimantan,Surapati,0.121456,117.484766,Purnama,-0.935414,114.901123,100
Kalimantan,Surapati,0.121456,117.484766,Tembaga,-2.581936,115.390569,100
Kalimantan,Surapati,0.121456,117.484766,Lestari,-3.455801,115.99749,100
Kalimantan,Surapati,0.121456,117.484766,Damai,0.505968,117.532558,100
Kalimantan,Surapati,0.121456,117.484766,Meranti,-1.5698,110.5215,100
Kalimantan,Surapati,0.121456,117.484766,Cendana,-2.684718,111.631067,100
Kalimantan,Surapati,0.121456,117.484766,Langit,-1.905754,116.197743,100
Kalimantan,Surapati,0.121456,117.484766,Bayu,-2.934015,115.14198,100
Kalimantan,Surapati,0.121456,117.484766,Salju,0.906,108.9872,100
Kalimantan,Surapati,0.121456,117.484766,Sembada,-0.1378,112.8106,100
Kalimantan,Sandika,-2.218321,113.900455,Purnama,-0.935414,114.901123,100
Kalimantan,Sandika,-2.218321,113.900455,Tembaga,-2.581936,115.390569,100
Kalimantan,Sandika,-2.218321,113.900455,Lestari,-3.455801,115.99749,100
Kalimantan,Sandika,-2.218321,113.900455,Damai,0.505968,117.532558,100
Kalimantan,Sandika,-2.218321,113.900455,Meranti,-1.5698,110.5215,100
Kalimantan,Sandika,-2.218321,113.900455,Cendana,-2.684718,111.631067,100
Kalimantan,Sandika,-2.218321,113.900455,Langit,-1.905754,116.197743,100
Kalimantan,Sandika,-2.218321,113.900455,Bayu,-2.934015,115.14198,100
Kalimantan,Sandika,-2.218321,113.900455,Salju,0.906,108.9872,100
Kalimantan,Sandika,-2.218321,113.900455,Sembada,-0.1378,112.8106,100
Kalimantan,Tidar,-0.03109,109.3425,Purnama,-0.935414,114.901123,100
Kalimantan,Tidar,-0.03109,109.3425,Tembaga,-2.581936,115.390569,100
Kalimantan,Tidar,-0.03109,109.3425,Lestari,-3.455801,115.99749,100
Kalimantan,Tidar,-0.03109,109.3425,Damai,0.505968,117.532558,100
Kalimantan,Tidar,-0.03109,109.3425,Meranti,-1.5698,110.5215,100
Kalimantan,Tidar,-0.03109,109.3425,Cendana,-2.684718,111.631067,100
Kalimantan,Tidar,-0.03109,109.3425,Langit,-1.905754,116.197743,100
Kalimantan,Tidar,-0.03109,109.3425,Bayu,-2.934015,115.14198,100
Kalimantan,Tidar,-0.03109,109.3425,Salju,0.906,108.9872,100
Kalimantan,Tidar,-0.03109,109.3425,Sembada,-0.1378,112.8106,100
Kalimantan,Kemuning,-0.502298,117.161801,Purnama,-0.935414,114.901123,100
Kalimantan,Kemuning,-0.502298,117.161801,Tembaga,-2.581936,115.390569,100
Kalimantan,Kemuning,-0.502298,117.161801,Lestari,-3.455801,115.99749,100
Kalimantan,Kemuning,-0.502298,117.161801,Damai,0.505968,117.532558,100
Kalimantan,Kemuning,-0.502298,117.161801,Meranti,-1.5698,110.5215,100
Kalimantan,Kemuning,-0.502298,117.161801,Cendana,-2.684718,111.631067,100
Kalimantan,Kemuning,-0.502298,117.161801,Langit,-1.905754,116.197743,100
Kalimantan,Kemuning,-0.502298,117.161801,Bayu,-2.934015,115.14198,100
Kalimantan,Kemuning,-0.502298,117.161801,Salju,0.906,108.9872,100
Kalimantan,Kemuning,-0.502298,117.161801,Sembada,-0.1378,112.8106,100
Kalimantan,Jembar,-2.538901,112.956601,Purnama,-0.935414,114.901123,100
Kalimantan,Jembar,-2.538901,112.956601,Tembaga,-2.581936,115.390569,100
Kalimantan,Jembar,-2.538901,112.956601,Lestari,-3.455801,115.99749,100
Kalimantan,Jembar,-2.538901,112.956601,Damai,0.505968,117.532558,100
Kalimantan,Jembar,-2.538901,112.956601,Meranti,-1.5698,110.5215,100
Kalimantan,Jembar,-2.538901,112.956601,Cendana,-2.684718,111.631067,100
Kalimantan,Jembar,-2.538901,112.956601,Langit,-1.905754,116.197743,100
Kalimantan,Jembar,-2.538901,112.956601,Bayu,-2.934015,115.14198,100
Kalimantan,Jembar,-2.538901,112.956601,Salju,0.906,108.9872,100
Kalimantan,Jembar,-2.538901,112.956601,Sembada,-0.1378,112.8106,100
Kalimantan,Widuri,3.34307,117.576925,Purnama,-0.935414,114.901123,100
Kalimantan,Widuri,3.34307,117.576925,Tembaga,-2.581936,115.390569,100
Kalimantan,Widuri,3.34307,117.576925,Lestari,-3.455801,115.99749,100
Kalimantan,Widuri,3.34307,117.576925,Damai,0.505968,117.532558,100
Kalimantan,Widuri,3.34307,117.576925,Meranti,-1.5698,110.5215,100
Kalimantan,Widuri,3.34307,117.576925,Cendana,-2.684718,111.631067,100
Kalimantan,Widuri,3.34307,117.576925,Langit,-1.905754,116.197743,100
Kalimantan,Widuri,3.34307,117.576925,Bayu,-2.934015,115.14198,100
Kalimantan,Widuri,3.34307,117.576925,Salju,0.906,108.9872,100
Kalimantan,Widuri,3.34307,117.576925,Sembada,-0.1378,112.8106,100
Kalimantan,Cemara,-1.249963,116.868785,Mawaddah,-3.330249,114.595582,1000
Kalimantan,Cemara,-1.249963,116.868785,Kalpataru,2.138839,117.492022,1000
Kalimantan,Cemara,-1.249963,116.868785,Surapati,0.121456,117.484766,1000
Kalimantan,Cemara,-1.249963,116.868785,Sandika,-2.218321,113.900455,1000
Kalimantan,Cemara,-1.249963,116.868785,Tidar,-0.03109,109.3425,1000
Kalimantan,Cemara,-1.249963,116.868785,Kemuning,-0.502298,117.161801,1000
Kalimantan,Cemara,-1.249963,116.868785,Jembar,-2.538901,112.956601,1000
Kalimantan,Cemara,-1.249963,116.868785,Widuri,3.34307,117.576925,1000
Kalimantan,Mawaddah,-3.330249,114.595582,Cemara,-1.249963,116.868785,1000
Kalimantan,Mawaddah,-3.330249,114.595582,Kalpataru,2.138839,117.492022,1000
Kalimantan,Mawaddah,-3.330249,114.595582,Surapati,0.121456,117.484766,1000
Kalimantan,Mawaddah,-3.330249,114.595582,Sandika,-2.218321,113.900455,1000
Kalimantan,Mawaddah,-3.330249,114.595582,Tidar,-0.03109,109.3425,1000
Kalimantan,Mawaddah,-3.330249,114.595582,Kemuning,-0.502298,117.161801,1000
Kalimantan,Mawaddah,-3.330249,114.595582,Jembar,-2.538901,112.956601,1000
Kalimantan,Mawaddah,-3.330249,114.595582,Widuri,3.34307,117.576925,1000
Kalimantan,Kalpataru,2.138839,117.492022,Cemara,-1.249963,116.868785,1000
Kalimantan,Kalpataru,2.138839,117.492022,Mawaddah,-3.330249,114.595582,1000
Kalimantan,Kalpataru,2.138839,117.492022,Surapati,0.121456,117.484766,1000
Kalimantan,Kalpataru,2.138839,117.492022,Sandika,-2.218321,113.900455,1000
Kalimantan,Kalpataru,2.138839,117.492022,Tidar,-0.03109,109.3425,1000
Kalimantan,Kalpataru,2.138839,117.492022,Kemuning,-0.502298,117.161801,1000
Kalimantan,Kalpataru,2.138839,117.492022,Jembar,-2.538901,112.956601,1000
Kalimantan,Kalpataru,2.138839,117.492022,Widuri,3.34307,117.576925,1000
Kalimantan,Surapati,0.121456,117.484766,Cemara,-1.249963,116.868785,1000
Kalimantan,Surapati,0.121456,117.484766,Mawaddah,-3.330249,114.595582,1000
Kalimantan,Surapati,0.121456,117.484766,Kalpataru,2.138839,117.492022,1000
Kalimantan,Surapati,0.121456,117.484766,Sandika,-2.218321,113.900455,1000
Kalimantan,Surapati,0.121456,117.484766,Tidar,-0.03109,109.3425,1000
Kalimantan,Surapati,0.121456,117.484766,Kemuning,-0.502298,117.161801,1000
Kalimantan,Surapati,0.121456,117.484766,Jembar,-2.538901,112.956601,1000
Kalimantan,Surapati,0.121456,117.484766,Widuri,3.34307,117.576925,1000
Kalimantan,Sandika,-2.218321,113.900455,Cemara,-1.249963,116.868785,1000
Kalimantan,Sandika,-2.218321,113.900455,Mawaddah,-3.330249,114.595582,1000
Kalimantan,Sandika,-2.218321,113.900455,Kalpataru,2.138839,117.492022,1000
Kalimantan,Sandika,-2.218321,113.900455,Surapati,0.121456,117.484766,1000
Kalimantan,Sandika,-2.218321,113.900455,Tidar,-0.03109,109.3425,1000
Kalimantan,Sandika,-2.218321,113.900455,Kemuning,-0.502298,117.161801,1000
Kalimantan,Sandika,-2.218321,113.900455,Jembar,-2.538901,112.956601,1000
Kalimantan,Sandika,-2.218321,113.900455,Widuri,3.34307,117.576925,1000
Kalimantan,Tidar,-0.03109,109.3425,Cemara,-1.249963,116.868785,1000
Kalimantan,Tidar,-0.03109,109.3425,Mawaddah,-3.330249,114.595582,1000
Kalimantan,Tidar,-0.03109,109.3425,Kalpataru,2.138839,117.492022,1000
Kalimantan,Tidar,-0.03109,109.3425,Surapati,0.121456,117.484766,1000
Kalimantan,Tidar,-0.03109,109.3425,Sandika,-2.218321,113.900455,1000
Kalimantan,Tidar,-0.03109,109.3425,Kemuning,-0.502298,117.161801,1000
Kalimantan,Tidar,-0.03109,109.3425,Jembar,-2.538901,112.956601,1000
Kalimantan,Tidar,-0.03109,109.3425,Widuri,3.34307,117.576925,1000
Kalimantan,Kemuning,-0.502298,117.161801,Cemara,-1.249963,116.868785,1000
Kalimantan,Kemuning,-0.502298,117.161801,Mawaddah,-3.330249,114.595582,1000
Kalimantan,Kemuning,-0.502298,117.161801,Kalpataru,2.138839,117.492022,1000
Kalimantan,Kemuning,-0.502298,117.161801,Surapati,0.121456,117.484766,1000
Kalimantan,Kemuning,-0.502298,117.161801,Sandika,-2.218321,113.900455,1000
Kalimantan,Kemuning,-0.502298,117.161801,Tidar,-0.03109,109.3425,1000
Kalimantan,Kemuning,-0.502298,117.161801,Jembar,-2.538901,112.956601,1000
Kalimantan,Kemuning,-0.502298,117.161801,Widuri,3.34307,117.576925,1000
Kalimantan,Jembar,-2.538901,112.956601,Cemara,-1.249963,116.868785,1000
Kalimantan,Jembar,-2.538901,112.956601,Mawaddah,-3.330249,114.595582,1000
Kalimantan,Jembar,-2.538901,112.956601,Kalpataru,2.138839,117.492022,1000
Kalimantan,Jembar,-2.538901,112.956601,Surapati,0.121456,117.484766,1000
Kalimantan,Jembar,-2.538901,112.956601,Sandika,-2.218321,113.900455,1000
Kalimantan,Jembar,-2.538901,112.956601,Tidar,-0.03109,109.3425,1000
Kalimantan,Jembar,-2.538901,112.956601,Kemuning,-0.502298,117.161801,1000
Kalimantan,Jembar,-2.538901,112.956601,Widuri,3.34307,117.576925,1000
Kalimantan,Widuri,3.34307,117.576925,Cemara,-1.249963,116.868785,1000
Kalimantan,Widuri,3.34307,117.576925,Mawaddah,-3.330249,114.595582,1000
Kalimantan,Widuri,3.34307,117.576925,Kalpataru,2.138839,117.492022,1000
Kalimantan,Widuri,3.34307,117.576925,Surapati,0.121456,117.484766,1000
Kalimantan,Widuri,3.34307,117.576925,Sandika,-2.218321,113.900455,1000
Kalimantan,Widuri,3.34307,117.576925,Tidar,-0.03109,109.3425,1000
Kalimantan,Widuri,3.34307,117.576925,Kemuning,-0.502298,117.161801,1000
Kalimantan,Widuri,3.34307,117.576925,Jembar,-2.538901,112.956601,1000
Sulawesi,Pelita,-3.96513,122.50127,Sakura,-5.10404,119.46298,1000
Sulawesi,Pelita,-3.96513,122.50127,Delima,1.49518,124.86597,1000
Sulawesi,Pelita,-3.96513,122.50127,Berlian,-0.8232,119.88515,1000
Sulawesi,Sakura,-5.10404,119.46298,Pelita,-3.96513,122.50127,1000
Sulawesi,Sakura,-5.10404,119.46298,Delima,1.49518,124.86597,1000
Sulawesi,Sakura,-5.10404,119.46298,Berlian,-0.8232,119.88515,1000
Sulawesi,Delima,1.49518,124.86597,Pelita,-3.96513,122.50127,1000
Sulawesi,Delima,1.49518,124.86597,Sakura,-5.10404,119.46298,1000
Sulawesi,Delima,1.49518,124.86597,Berlian,-0.8232,119.88515,1000
Sulawesi,Berlian,-0.8232,119.88515,Pelita,-3.96513,122.50127,1000
Sulawesi,Berlian,-0.8232,119.88515,Sakura,-5.10404,119.46298,1000
Sulawesi,Berlian,-0.8232,119.88515,Delima,1.49518,124.86597,1000
Sulawesi,Pelita,-3.96513,122.50127,Jati,-5.48159,122.58,500
Sulawesi,Pelita,-3.96513,122.50127,Rajawali,-4.55181,120.3264,500
Sulawesi,Pelita,-3.96513,122.50127,Perkasa,0.62005,123.02368,500
Sulawesi,Pelita,-3.96513,122.50127,Srikandi,-0.96424,122.78153,500
Sulawesi,Pelita,-3.96513,122.50127,Bangkit,-2.68747,118.89864,500
Sulawesi,Pelita,-3.96513,122.50127,Bahagia,-3.00675,120.20264,500
Sulawesi,Pelita,-3.96513,122.50127,Madani,-3.97929,119.65472,500
Sulawesi,Pelita,-3.96513,122.50127,Pelangi,-1.38101,120.76128,500
Sulawesi,Sakura,-5.10404,119.46298,Jati,-5.48159,122.58,500
Sulawesi,Sakura,-5.10404,119.46298,Rajawali,-4.55181,120.3264,500
Sulawesi,Sakura,-5.10404,119.46298,Perkasa,0.62005,123.02368,500
Sulawesi,Sakura,-5.10404,119.46298,Srikandi,-0.96424,122.78153,500
Sulawesi,Sakura,-5.10404,119.46298,Bangkit,-2.68747,118.89864,500
Sulawesi,Sakura,-5.10404,119.46298,Bahagia,-3.00675,120.20264,500
Sulawesi,Sakura,-5.10404,119.46298,Madani,-3.97929,119.65472,500
Sulawesi,Sakura,-5.10404,119.46298,Pelangi,-1.38101,120.76128,500
Sulawesi,Delima,1.49518,124.86597,Jati,-5.48159,122.58,500
Sulawesi,Delima,1.49518,124.86597,Rajawali,-4.55181,120.3264,500
Sulawesi,Delima,1.49518,124.86597,Perkasa,0.62005,123.02368,500
Sulawesi,Delima,1.49518,124.86597,Srikandi,-0.96424,122.78153,500
Sulawesi,Delima,1.49518,124.86597,Bangkit,-2.68747,118.89864,500
Sulawesi,Delima,1.49518,124.86597,Bahagia,-3.00675,120.20264,500
Sulawesi,Delima,1.49518,124.86597,Madani,-3.97929,119.65472,500
Sulawesi,Delima,1.49518,124.86597,Pelangi,-1.38101,120.76128,500
Sulawesi,Berlian,-0.8232,119.88515,Jati,-5.48159,122.58,500
Sulawesi,Berlian,-0.8232,119.88515,Rajawali,-4.55181,120.3264,500
Sulawesi,Berlian,-0.8232,119.88515,Perkasa,0.62005,123.02368,500
Sulawesi,Berlian,-0.8232,119.88515,Srikandi,-0.96424,122.78153,500
Sulawesi,Berlian,-0.8232,119.88515,Bangkit,-2.68747,118.89864,500
Sulawesi,Berlian,-0.8232,119.88515,Bahagia,-3.00675,120.20264,500
Sulawesi,Berlian,-0.8232,119.88515,Madani,-3.97929,119.65472,500
Sulawesi,Berlian,-0.8232,119.88515,Pelangi,-1.38101,120.76128,500
Sulawesi,Jati,-5.48159,122.58,Rajawali,-4.55181,120.3264,200
Sulawesi,Jati,-5.48159,122.58,Perkasa,0.62005,123.02368,200
Sulawesi,Jati,-5.48159,122.58,Srikandi,-0.96424,122.78153,200
Sulawesi,Jati,-5.48159,122.58,Bangkit,-2.68747,118.89864,200
Sulawesi,Jati,-5.48159,122.58,Bahagia,-3.00675,120.20264,200
Sulawesi,Jati,-5.48159,122.58,Madani,-3.97929,119.65472,200
Sulawesi,Jati,-5.48159,122.58,Pelangi,-1.38101,120.76128,200
Sulawesi,Rajawali,-4.55181,120.3264,Jati,-5.48159,122.58,200
Sulawesi,Rajawali,-4.55181,120.3264,Perkasa,0.62005,123.02368,200
Sulawesi,Rajawali,-4.55181,120.3264,Srikandi,-0.96424,122.78153,200
Sulawesi,Rajawali,-4.55181,120.3264,Bangkit,-2.68747,118.89864,200
Sulawesi,Rajawali,-4.55181,120.3264,Bahagia,-3.00675,120.20264,200
Sulawesi,Rajawali,-4.55181,120.3264,Madani,-3.97929,119.65472,200
Sulawesi,Rajawali,-4.55181,120.3264,Pelangi,-1.38101,120.76128,200
Sulawesi,Perkasa,0.62005,123.02368,Jati,-5.48159,122.58,200
Sulawesi,Perkasa,0.62005,123.02368,Rajawali,-4.55181,120.3264,200
Sulawesi,Perkasa,0.62005,123.02368,Srikandi,-0.96424,122.78153,200
Sulawesi,Perkasa,0.62005,123.02368,Bangkit,-2.68747,118.89864,200
Sulawesi,Perkasa,0.62005,123.02368,Bahagia,-3.00675,120.20264,200
